"logFC","AveExpr","t","P.Value","adj.P.Val","B","PROBEID","SYMBOL","ENTREZID","GENENAME"
1.7662463385798,4.03421548998889,14.4019486272926,4.2371331535838e-05,0.0408140213095839,2.77873453949376,"220294_at","KCNV1","27012","potassium voltage-gated channel modifier subfamily V member 1"
2.49145973213771,7.25972222299468,14.2827978129835,4.40425652906346e-05,0.0408140213095839,2.75083045395768,"209988_s_at","ASCL1","429","achaete-scute family bHLH transcription factor 1"
1.24117820263907,6.53778010746652,13.6195506212736,4.68744351967612e-05,0.0416532562182125,2.72476999130739,"218543_s_at","PARP12","64761","poly(ADP-ribose) polymerase family member 12"
1.54283065259875,4.52384049933115,14.0697465214579,4.72336878926233e-05,0.0416532562182125,2.69991583983551,"209160_at","AKR1C3","8644","aldo-keto reductase family 1 member C3"
3.61516925822763,5.45523048326759,13.8305920001173,5.11545039112236e-05,0.0429660433062005,2.64115947425251,"203153_at","IFIT1","3434","interferon induced protein with tetratricopeptide repeats 1"
1.20660287168586,6.86043941534116,13.2918402194554,5.26226518833725e-05,0.0429660433062005,2.63686872889462,"221279_at","GDAP1","54332","ganglioside induced differentiation associated protein 1"
1.51278832897685,4.62950384820075,13.7867179281659,5.1915804748609e-05,0.0429660433062005,2.63019155459357,"207084_at","POU3F2","5454","POU class 3 homeobox 2"
1.21733341116706,4.33845161973994,13.2403637585219,5.36007873789073e-05,0.0430973977932611,2.62273411038128,"237737_at","ANKRD20A12P","100874392","ankyrin repeat domain 20 family member A12, pseudogene"
1.21733341116706,4.33845161973994,13.2403637585219,5.36007873789073e-05,0.0430973977932611,2.62273411038128,"237737_at","LOC101060632","101060632","uncharacterized LOC101060632"
1.21733341116706,4.33845161973994,13.2403637585219,5.36007873789073e-05,0.0430973977932611,2.62273411038128,"237737_at","LOC101927345","101927345","putative ankyrin repeat domain-containing protein 20A12"
1.21733341116706,4.33845161973994,13.2403637585219,5.36007873789073e-05,0.0430973977932611,2.62273411038128,"237737_at","LOC105379272","105379272","uncharacterized LOC105379272"
1.13617596193964,5.38776865801116,13.1175799073884,5.60234423348858e-05,0.0435344109751547,2.58865171220512,"225842_at","PHLDA1","22822","pleckstrin homology like domain family A member 1"
1.33685629717129,4.6583121235054,13.2964606590206,5.95691156195773e-05,0.0447591240881614,2.5299047275824,"215629_s_at","DLEU2","8847","deleted in lymphocytic leukemia 2"
1.33685629717129,4.6583121235054,13.2964606590206,5.95691156195773e-05,0.0447591240881614,2.5299047275824,"215629_s_at","DLEU2L","79469","deleted in lymphocytic leukemia 2 like"
1.22194071192252,5.2935848366105,12.9858561029332,6.05793357571824e-05,0.0447591240881614,2.52539353778691,"221942_s_at","GUCY1A1","2982","guanylate cyclase 1 soluble subunit alpha 1"
1.34166627185574,8.48174810447468,13.2746415961882,6.02925635525162e-05,0.0447591240881614,2.52025449277184,"226279_at","PRSS23","11098","serine protease 23"
1.20000136471888,6.38515241613488,12.8414258649526,6.32496795131029e-05,0.045815201352358,2.49246618527131,"200923_at","LGALS3BP","3959","galectin 3 binding protein"
1.8650252866428,4.72163533617228,13.1934024629986,6.3684596301403e-05,0.045815201352358,2.47586112881444,"238047_at","ARHGAP36","158763","Rho GTPase activating protein 36"
1.09908111010886,4.38090540259747,12.5569508312421,6.89070009858182e-05,0.0488551974324467,2.42618861367198,"228457_at","PPM1L","151742","protein phosphatase, Mg2+/Mn2+ dependent 1L"
1.17628308374557,6.03271059504668,12.5365694545565,7.12599705008343e-05,0.0488551974324467,2.39780553707221,"200974_at","ACTA2","59","actin alpha 2, smooth muscle"
1.14668071184441,5.04684441086474,12.4372148278748,7.24056037239823e-05,0.0488551974324467,2.38637886597339,"226065_at","PRICKLE1","144165","prickle planar cell polarity protein 1"
1.72464937525629,6.36789251220228,12.851480829846,7.19315043906645e-05,0.0488551974324467,2.38157654910117,"242943_at","ST8SIA4","7903","ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 4"
1.27165870062123,4.53761110489228,12.7057122451638,7.30319068019205e-05,0.0488551974324467,2.37248339673745,"1568609_s_at","LINC00869","57234","long intergenic non-protein coding RNA 869"
1.27165870062123,4.53761110489228,12.7057122451638,7.30319068019205e-05,0.0488551974324467,2.37248339673745,"1568609_s_at","LINC01138","388685","long intergenic non-protein coding RNA 1138"
1.27165870062123,4.53761110489228,12.7057122451638,7.30319068019205e-05,0.0488551974324467,2.37248339673745,"1568609_s_at","LINC02591","388692","long intergenic non-protein coding RNA 2591"
1.27165870062123,4.53761110489228,12.7057122451638,7.30319068019205e-05,0.0488551974324467,2.37248339673745,"1568609_s_at","LINC00623","728855","long intergenic non-protein coding RNA 623"
1.27165870062123,4.53761110489228,12.7057122451638,7.30319068019205e-05,0.0488551974324467,2.37248339673745,"1568609_s_at","LINC01145","103091866","long intergenic non-protein coding RNA 1145"
1.42500096205727,3.84640384491816,12.7153578526371,7.55696144631914e-05,0.049780345431024,2.34289148027518,"204655_at","CCL5","6352","C-C motif chemokine ligand 5"
